Title,cv,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f1,mean_test_recall,mean_test_sensitivity,mean_test_specificity,mean_test_precision,mean_test_NPV,mean_test_PPV
Test_T81_Boruta_T1000_itrr200_thres100_topR5_MD7_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7704157322753147,0.7662685556446582,0.8174954476602432,0.7410367495388167,0.708981555733761,0.708981555733761,0.8235555555555555,0.7780371033535591,0.7664527669059007,0.7780371033535591
Test_T81_Boruta_T1000_itrr200_thres100_topR5_MD7_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7596917946064057,0.7586070650368967,0.8432982849073467,0.7418050941306756,0.7435979684576316,0.7435979684576316,0.7736161616161615,0.7404476828641388,0.7770028907677266,0.7404476828641388
Test_T81noDag_Boruta_T1000_itrr500_thres100_topR5_MD3_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7296302685296994,0.725179963224871,0.8179604910370749,0.6943670939991222,0.6627639668537825,0.6627639668537825,0.7875959595959595,0.7321888265473586,0.73006440045819,0.7321888265473586
Test_T81_Boruta_T1000_itrr200_thres100_topR5_MD3_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7296302685296994,0.725179963224871,0.8179604910370749,0.6943670939991222,0.6627639668537825,0.6627639668537825,0.7875959595959595,0.7321888265473586,0.73006440045819,0.7321888265473586
Test_T81_Boruta_T1000_itrr200_thres100_topR5_MD3_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7296245184290726,0.7253424461130956,0.816219487038252,0.6952018225816675,0.6651697407110398,0.6651697407110398,0.7855151515151515,0.7317834695189049,0.7309380663024176,0.7317834695189049
Test_T81noDag_Boruta_T1000_itrr500_thres100_topR5_MD3_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7296245184290726,0.7253424461130956,0.816219487038252,0.6952018225816675,0.6651697407110398,0.6651697407110398,0.7855151515151515,0.7317834695189049,0.7309380663024176,0.7317834695189049
Test_T83_Boruta_T1000_itrr200_thres100_topR5_MD3_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7263433813892529,0.7139388455144257,0.774947705128475,0.6625207771716654,0.6168421052631579,0.6168421052631579,0.8110355857656938,0.7171032474248916,0.7327287177765849,0.7171032474248916
Test_T83_Boruta_T1000_itrr200_thres100_topR5_MD3_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7144125480911512,0.7014394242303078,0.7639232727961447,0.6461211327388074,0.6,0.6,0.8028788484606156,0.7036201312532983,0.7225815641082808,0.7036201312532983
Test_T81noDag_Boruta_T1000_itrr500_thres100_topR5_MD5_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7092691622103386,0.7062197516463755,0.8039558455444583,0.6784875615055622,0.6629243517775996,0.6629243517775996,0.7495151515151516,0.6983045111927332,0.7206425424339507,0.6983045111927332
Test_T83_Boruta_T1000_itrr200_thres100_topR5_MD7_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.702447892444933,0.6898585127352568,0.7579749152970391,0.6342342119551235,0.5915789473684211,0.5915789473684211,0.7881380781020925,0.6877823957896143,0.7139216829737144,0.6877823957896143
Test_T81noDag_Boruta_T1000_itrr200_thres100_topR5_MD7_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7017192800874016,0.6994348375495129,0.778599554756331,0.675087030375263,0.6674151296444799,0.6674151296444799,0.7314545454545456,0.6853281166451348,0.7175078159315815,0.6853281166451348
Test_T81noDag_Boruta_T1000_itrr200_thres100_topR5_MD7_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7006842619745847,0.6981695544053202,0.7909015198766602,0.6728135593220339,0.6628441593156909,0.6628441593156909,0.7334949494949494,0.6855069246303857,0.7152222884782738,0.6855069246303857
Test_T81noDag_Boruta_T1000_itrr500_thres100_topR5_MD5_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.7006842619745847,0.6977414805634534,0.7931337472560408,0.6708114412686249,0.655947607591553,0.655947607591553,0.7395353535353536,0.6886335351102968,0.7123499366224235,0.6886335351102968
Test_T83_Boruta_T1000_itrr200_thres100_topR5_MD7_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.689616539128229,0.6794482207117153,0.7606705388020232,0.6274185550021548,0.6,0.6,0.7588964414234306,0.6591786823152223,0.7106965919033891,0.6591786823152223
Test_T83noDag_Boruta_T1000_itrr200_thres100_topR5_MD3_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6657760114995984,0.6573581795352034,0.709094116739269,0.6055656872868607,0.591578947368421,0.591578947368421,0.723137411701986,0.6254729760872207,0.6972473422320103,0.6254729760872207
Test_T83noDat_Boruta_T1000_itrr500_thres100_topR5_MD3_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6657760114995984,0.6573581795352034,0.709094116739269,0.6055656872868607,0.591578947368421,0.591578947368421,0.723137411701986,0.6254729760872207,0.6972473422320103,0.6254729760872207
Test_T83noDat_Boruta_T1000_itrr500_thres100_topR5_MD5_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6327104384221875,0.623024474420758,0.6798740153061583,0.5643720842444029,0.5473684210526316,0.5473684210526316,0.6986805277888843,0.5856739900942214,0.6667480587378811,0.5856739900942214
Test_T83noDag_Boruta_T1000_itrr200_thres100_topR5_MD3_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6253498499133302,0.617452247171307,0.6713420596673612,0.563514269916099,0.5557894736842106,0.5557894736842106,0.6791150206584032,0.5742223691879883,0.6643539040996668,0.5742223691879883
Test_T83noDat_Boruta_T1000_itrr500_thres100_topR5_MD3_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6253498499133302,0.617452247171307,0.6713420596673612,0.563514269916099,0.5557894736842106,0.5557894736842106,0.6791150206584032,0.5742223691879883,0.6643539040996668,0.5742223691879883
Test_T83noDat_Boruta_T1000_itrr500_thres100_topR5_MD5_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6088318606519257,0.6040095540731075,0.6593929445765554,0.5574596284052478,0.5663157894736842,0.5663157894736842,0.6417033186725309,0.5526191434880573,0.6567995817049894,0.5526191434880573
Test_T83noDag_Boruta_T1000_itrr200_thres100_topR5_MD7_Top_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.6078806071111487,0.6029302664898952,0.6388110019150235,0.5561076223502855,0.5642105263157895,0.5642105263157895,0.641650006664001,0.5493285297269335,0.6560347769654589,0.5493285297269335
Test_T83noDag_Boruta_T1000_itrr200_thres100_topR5_MD7_True_LCN_LCP,5,RandomForestClassifier(),,1000,42,0.575774743161544,0.5565831912848896,0.5744954649719058,0.4523497432799758,0.40631578947368424,0.40631578947368424,0.7068505930960949,0.5135052217086116,0.6074510363162064,0.5135052217086116
